diag_nat_code,chapter_range,chapter_name,group_range,group_name,sub_group_range,sub_group_name
G473,G00-G99,Diseases of the nervous system,G40-G47,Episodic and paroxysmal disorders,G40-G47,Episodic and paroxysmal disorders
T861,S00-T98,"Injury, poisoning and certain other consequences of external causes",T80-T88,"Complications of surgical and medical care, not elsewhere classified",T80-T88,"Complications of surgical and medical care, not elsewhere classified"
N179,N00-N99,Diseases of the genitourinary system,N17-N19,Renal failure,N17-N19,Renal failure
Z935,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
Z855,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
M216,M00-M99,Diseases of the musculoskeletal system and connective tissue,M00-M25,Arthropathies,M20-M25,Other joint disorders
R202,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R20-R23,Symptoms and signs involving the skin and subcutaneous tissue,R20-R23,Symptoms and signs involving the skin and subcutaneous tissue
R194,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R10-R19,Symptoms and signs involving the digestive system and abdomen,R10-R19,Symptoms and signs involving the digestive system and abdomen
C795,C00-D48,Neoplasms,C00-C97,Malignant neoplasms,C76-C80,"Malignant neoplasms of ill-defined,  secondary and unspecified sites"
Z910,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
T828,S00-T98,"Injury, poisoning and certain other consequences of external causes",T80-T88,"Complications of surgical and medical care, not elsewhere classified",T80-T88,"Complications of surgical and medical care, not elsewhere classified"
I438,I00-I99,Diseases of the circulatory system,I30-I52,Other forms of heart disease,I30-I52,Other forms of heart disease
Q02,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q07,Congenital malformations of the nervous system,Q00-Q07,Congenital malformations of the nervous system
E301,E00-E90,"Endocrine, nutritional and metabolic diseases",E20-E35,Disorders of other endocrine glands,E20-E35,Disorders of other endocrine glands
P113,P00-P96,Certain conditions originating in the perinatal period,P10-P15,Birth trauma,P10-P15,Birth trauma
U838,U00-U85,Codes for special purposes,U82-U85,Resistance to antimicrobial and antineoplastic drugs,U82-U85,Resistance to antimicrobial and antineoplastic drugs
B952,A00-B99,Certain infectious and parasitic diseases,B95-B98,"Bacterial, viral and other infectious agents",B95-B98,"Bacterial, viral and other infectious agents"
D739,D50-D89,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D70-D77,Other diseases of blood and blood-forming organs,D70-D77,Other diseases of blood and blood-forming organs
D619,D50-D89,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D60-D64,Aplastic and other anaemias,D60-D64,Aplastic and other anaemias
K746,K00-K93,Diseases of the digestive system,K70-K77,Diseases of liver,K70-K77,Diseases of liver
Q909,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q90-Q99,"Chromosomal abnormalities, not elsewhere classified",Q90-Q99,"Chromosomal abnormalities, not elsewhere classified"
J459,J00-J99,Diseases of the respiratory system,J40-J47,Chronic lower respiratory diseases,J40-J47,Chronic lower respiratory diseases
Z639,Z00-Z99,Factors influencing health status and contact with health services,Z55-Z65,Persons with potential health hazards related to socioeconomic and psychosocial circumstances,Z55-Z65,Persons with potential health hazards related to socioeconomic and psychosocial circumstances
M321,M00-M99,Diseases of the musculoskeletal system and connective tissue,M30-M36,Systemic connective tissue disorders,M30-M36,Systemic connective tissue disorders
Q422,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q38-Q45,Other congenital malformations of the digestive system,Q38-Q45,Other congenital malformations of the digestive system
Q439,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q38-Q45,Other congenital malformations of the digestive system,Q38-Q45,Other congenital malformations of the digestive system
Z513,Z00-Z99,Factors influencing health status and contact with health services,Z40-Z54,Persons encountering health services for specific procedures and health care,Z40-Z54,Persons encountering health services for specific procedures and health care
K449,K00-K93,Diseases of the digestive system,K40-K46,Hernia,K40-K46,Hernia
Q603,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q60-Q64,Congenital malformations of the urinary system,Q60-Q64,Congenital malformations of the urinary system
N085,N00-N99,Diseases of the genitourinary system,N00-N08,Glomerular diseases,N00-N08,Glomerular diseases
K219,K00-K93,Diseases of the digestive system,K20-K31,"Diseases of oesophagus, stomach and duodenum",K20-K31,"Diseases of oesophagus, stomach and duodenum"
E610,E00-E90,"Endocrine, nutritional and metabolic diseases",E50-E64,Other nutritional deficiencies,E50-E64,Other nutritional deficiencies
I770,I00-I99,Diseases of the circulatory system,I70-I79,"Diseases of arteries, arterioles and capillaries",I70-I79,"Diseases of arteries, arterioles and capillaries"
F818,F00-F99,Mental and behavioural disorders,F80-F89,Disorders of psychological development,F80-F89,Disorders of psychological development
N200,N00-N99,Diseases of the genitourinary system,N20-N23,Urolithiasis,N20-N23,Urolithiasis
H520,H00-H59,Diseases of the eye and adnexa,H49-H52,"Disorders of ocular muscles, binocular movement, accommodation and refraction",H49-H52,"Disorders of ocular muscles, binocular movement, accommodation and refraction"
Z950,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
Z880,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
T810,S00-T98,"Injury, poisoning and certain other consequences of external causes",T80-T88,"Complications of surgical and medical care, not elsewhere classified",T80-T88,"Complications of surgical and medical care, not elsewhere classified"
J90,J00-J99,Diseases of the respiratory system,J90-J94,Other diseases of pleura,J90-J94,Other diseases of pleura
Q251,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q20-Q28,Congenital malformations of the circulatory system,Q20-Q28,Congenital malformations of the circulatory system
Q872,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q80-Q89,Other congenital malformations,Q80-Q89,Other congenital malformations
